,USAF,WBAN,StationName,State,Latitude,Longitude,MeanTemp,MinTemp,MaxTemp,DewPoint,Percipitation,WindSpeed,MaxSustainedWind,Gust,Rain,SnowDepth,SnowIce,Year,Month,Day
2917,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,-16.7,-32.1,0.0,-20.8,0.0,2.0,8.0,,0,,0,2018,1,1
2918,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,18.0,-2.9,33.1,13.0,0.04,2.5,8.9,,0,,0,2018,1,10
2919,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,39.3,30.9,46.9,37.3,0.01,8.5,12.0,,1,,0,2018,1,11
2920,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,48.2,34.0,55.0,47.6,0.64,8.8,15.0,24.1,1,,0,2018,1,12
2921,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,10.3,-0.9,32.0,6.7,1.78,5.2,9.9,15.9,1,,1,2018,1,13
2922,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,-10.2,-29.9,18.0,-15.7,0.2,1.5,5.1,,0,,0,2018,1,14
2923,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,-8.8,-29.9,15.1,-14.1,0.0,1.7,6.0,,0,,0,2018,1,15
2924,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,11.7,1.9,21.9,8.7,0.02,1.8,6.0,,0,,1,2018,1,16
2925,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,14.5,1.9,23.0,11.7,,2.3,8.0,,0,,1,2018,1,17
2926,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,16.7,1.9,21.0,13.9,0.0,7.6,9.9,15.9,0,,1,2018,1,18
2927,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,20.4,14.0,24.1,19.1,0.02,7.8,11.1,,0,,1,2018,1,19
2928,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,-5.6,-32.1,16.0,-9.5,0.0,4.0,12.0,19.0,0,,1,2018,1,2
2929,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,30.7,17.1,35.1,24.9,,10.5,15.0,27.0,0,,1,2018,1,20
2930,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,33.3,27.0,37.0,29.6,0.0,5.3,14.0,20.0,0,,0,2018,1,21
2931,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,29.1,26.1,37.0,27.1,0.0,5.5,13.0,,1,,1,2018,1,22
2932,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,37.5,26.1,46.0,36.1,0.15,5.1,12.0,21.0,1,,0,2018,1,23
2933,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,17.9,7.0,46.0,14.2,0.18,7.6,15.0,34.0,0,,1,2018,1,24
2934,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,5.3,-2.9,12.9,-1.5,0.01,4.6,8.9,15.9,0,,0,2018,1,25
2935,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,2.3,-18.0,27.0,-5.6,0.0,1.0,6.0,,0,,0,2018,1,26
2936,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,29.0,5.0,43.0,18.6,0.0,9.1,17.1,22.9,1,,0,2018,1,27
2937,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,34.4,28.0,39.0,30.7,0.1,7.2,13.0,20.0,1,,0,2018,1,28
2938,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,24.8,18.0,39.0,17.7,0.0,6.2,12.0,,0,,1,2018,1,29
2939,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,12.8,3.9,18.0,8.2,0.01,9.8,15.9,18.1,0,,1,2018,1,3
2940,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,14.5,10.0,28.0,7.4,0.0,4.5,8.9,,0,,0,2018,1,30
2941,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,8.0,-4.0,19.9,1.3,0.0,5.6,12.0,17.1,0,,1,2018,1,31
2942,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,7.2,-2.9,15.1,4.0,0.0,,,,0,,1,2018,1,4
2943,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,-5.9,-14.1,16.0,-11.6,0.02,8.4,15.0,22.0,0,,1,2018,1,5
2944,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,-14.4,-18.4,-9.9,-21.0,0.0,8.6,15.0,21.0,0,,1,2018,1,6
2945,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,-11.5,-29.0,10.0,-17.6,0.0,5.1,14.0,,0,,0,2018,1,7
2946,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,21.4,10.0,30.0,18.7,0.07,10.2,19.0,25.1,0,,1,2018,1,8
2947,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,26.5,12.9,30.9,23.2,0.08,6.5,13.0,22.0,0,,1,2018,1,9
2948,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,46.2,30.9,52.0,45.6,0.34,2.1,7.0,,1,,0,2018,10,1
2949,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,66.5,53.1,78.1,62.6,0.0,5.2,11.1,,0,,0,2018,10,10
2950,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,63.8,53.1,78.1,63.3,0.32,5.6,11.1,15.9,1,,0,2018,10,11
2951,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,46.5,39.0,68.0,40.8,0.38,6.9,12.0,21.0,1,,0,2018,10,12
2952,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,38.8,35.1,51.1,34.2,0.09,5.2,9.9,21.0,1,,1,2018,10,13
2953,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,40.4,30.0,52.0,31.8,0.03,5.3,11.1,18.1,0,,0,2018,10,14
2954,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,37.8,27.0,54.0,37.5,0.0,3.7,17.1,28.9,1,,0,2018,10,15
2955,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,38.1,27.0,54.0,31.2,0.25,9.2,17.1,28.0,1,,0,2018,10,16
2956,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,37.8,33.1,41.0,34.3,0.01,7.1,13.0,19.0,1,,1,2018,10,17
2957,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,29.0,24.1,42.1,19.3,0.14,7.5,15.9,22.9,0,,1,2018,10,18
2958,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,42.1,24.1,59.0,34.0,0.0,9.9,17.1,28.0,1,,0,2018,10,19
2959,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,47.4,44.1,54.0,47.3,0.16,3.9,8.0,,1,,0,2018,10,2
2960,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,47.2,32.0,59.0,34.6,0.0,11.3,17.1,31.1,1,,0,2018,10,20
2961,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,31.4,27.0,52.0,22.9,0.01,5.9,11.1,19.0,0,,1,2018,10,21
2962,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,31.8,27.0,37.9,23.6,0.0,4.3,9.9,,0,,0,2018,10,22
2963,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,34.3,25.0,39.9,33.4,0.0,2.0,7.0,,1,,0,2018,10,23
2964,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,35.0,25.0,42.1,32.5,0.09,3.1,6.0,,0,,0,2018,10,24
2965,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,29.2,27.0,42.1,23.8,0.0,6.2,8.9,18.1,0,,0,2018,10,25
2966,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,28.8,19.0,39.9,15.7,0.0,1.5,6.0,,0,,0,2018,10,26
2967,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,31.5,19.0,39.9,23.6,0.0,7.6,18.1,22.9,1,,1,2018,10,27
2968,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,34.0,28.9,39.0,33.9,0.44,7.2,17.1,26.0,1,,1,2018,10,28
2969,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,38.0,32.0,42.1,37.4,0.06,4.3,8.0,,1,,1,2018,10,29
2970,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,51.0,44.1,54.0,50.5,1.16,1.9,5.1,,1,,0,2018,10,3
2971,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,30.6,27.0,42.1,29.5,0.11,4.0,8.9,14.0,0,,1,2018,10,30
2972,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,31.9,21.9,46.0,31.5,0.01,2.1,7.0,,1,,1,2018,10,31
2973,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,55.0,39.0,68.0,53.8,0.28,5.3,13.0,19.0,1,,0,2018,10,4
2974,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,41.3,27.0,68.0,33.9,0.09,4.9,9.9,17.1,0,,0,2018,10,5
2975,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,48.9,37.9,64.4,43.0,0.0,4.1,14.0,18.1,1,,0,2018,10,6
2976,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,54.0,37.9,64.0,53.9,0.15,4.2,8.9,,1,,0,2018,10,7
2977,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,45.9,39.2,61.0,45.4,0.01,5.5,9.9,,0,,0,2018,10,8
2978,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,66.7,61.0,72.0,64.3,0.0,8.5,12.0,20.0,1,,0,2018,10,9
2979,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,43.6,39.2,48.9,43.2,0.17,1.5,6.0,,1,,0,2018,11,1
2980,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,32.1,25.0,37.0,,0.33,9.5,20.0,35.0,1,,1,2018,11,10
2981,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,24.2,19.0,37.0,,0.01,7.7,11.1,27.0,0,,1,2018,11,11
2982,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,19.0,14.0,24.1,,0.0,0.7,2.9,,0,,0,2018,11,12
2983,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,43.6,39.0,53.1,43.2,0.98,2.2,7.0,,1,,0,2018,11,2
2984,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,39.9,33.1,53.1,39.6,0.11,4.5,13.0,24.1,1,,1,2018,11,3
2985,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,32.1,27.0,45.0,26.3,0.3,5.5,12.0,25.1,0,,1,2018,11,4
2986,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,34.8,25.0,42.1,31.5,0.0,2.8,11.1,17.1,1,,0,2018,11,5
2987,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,44.5,27.0,52.0,43.6,0.22,5.2,13.0,21.0,1,,0,2018,11,6
2988,726228,94740,ADIRONDACK REGIONAL ARPT,NY,44.385,-74.207,43.3,39.0,52.0,39.7,0.47,11.4,15.9,27.0,1,,0,2018,11,7
